sensorid;Column5;djup[mˆh];placering;typ;filtrerad
A81758FFFE04CDD8;2021-09-23 18:30;28.187;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 18:45;28.193;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 19:00;28.196;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 19:15;28.194;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 19:30;28.222;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 19:45;28.201;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 20:00;28.211;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 20:15;28.225;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 20:30;28.2;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 20:45;28.168;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 21:00;28.199;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 21:15;28.206;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 21:30;28.202;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 21:45;28.194;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 22:00;28.191;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 22:15;28.206;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 22:30;28.21;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 22:45;28.206;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 23:00;28.201;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 23:15;28.212;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 23:30;28.215;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 23:45;28.22;Ankdammen;NivÂ;FALSE
